country,sector,year,value
Germany,Power,2020,204.44
Germany,Power,2021,239.13
Germany,Power,2022,258.20
Germany,Power,2023,89.05
Germany,Residential,2018,0.55
Germany,Residential,2019,138.44
Germany,Residential,2020,134.07
Germany,Residential,2021,150.24
Germany,Residential,2022,134.65
Germany,Residential,2023,75.31
India,Domestic aviation,2018,0.02
India,Domestic aviation,2019,7.20
India,Domestic aviation,2020,3.90
India,Domestic aviation,2021,5.18
India,Domestic aviation,2022,6.44
India,Domestic aviation,2023,2.93
India,Ground transport,2018,0.82
India,Ground transport,2019,299.64
India,Ground transport,2020,258.14
India,Ground transport,2021,268.88
India,Ground transport,2022,290.64
India,Ground transport,2023,120.52
India,Industry,2018,2.07
India,Industry,2019,751.14
India,Industry,2020,655.90
India,Industry,2021,744.54
India,Industry,2022,773.61
India,Industry,2023,333.05
India,International aviation,2018,0.03
India,International aviation,2019,12.05
India,International aviation,2020,5.55
India,International aviation,2021,6.05
India,International aviation,2022,10.49
India,International aviation,2023,5.02
India,Power,2018,3.35
India,Power,2019,1197.60
India,Power,2020,1139.74
India,Power,2021,1278.22
India,Power,2022,1390.88
India,Power,2023,655.34
India,Residential,2018,1.67
India,Residential,2019,204.33
India,Residential,2020,201.62
India,Residential,2021,184.50
India,Residential,2022,191.19
India,Residential,2023,95.72
Italy,Domestic aviation,2018,0.00
Italy,Domestic aviation,2019,1.89
Italy,Domestic aviation,2020,1.00
Italy,Domestic aviation,2021,1.47
Italy,Domestic aviation,2022,1.96
Italy,Domestic aviation,2023,0.73
Italy,Ground transport,2018,0.20
Italy,Ground transport,2019,91.10
Italy,Ground transport,2020,81.78
Italy,Ground transport,2021,90.67
Italy,Ground transport,2022,90.65
Italy,Ground transport,2023,38.87
Italy,Industry,2018,0.07
Italy,Industry,2019,54.39
Italy,Industry,2020,47.99
Italy,Industry,2021,54.41
Italy,Industry,2022,54.47
Italy,Industry,2023,23.34
Italy,International aviation,2018,0.03
Italy,International aviation,2019,14.99
Italy,International aviation,2020,4.82
Italy,International aviation,2021,6.48
Italy,International aviation,2022,11.59
Italy,International aviation,2023,4.89
Italy,Power,2018,0.17
Italy,Power,2019,93.87
Italy,Power,2020,86.78
Italy,Power,2021,90.28
Italy,Power,2022,101.43
Italy,Power,2023,33.14
Italy,Residential,2018,0.39
Italy,Residential,2019,74.95
Italy,Residential,2020,74.26
Italy,Residential,2021,77.71
Italy,Residential,2022,72.72
Italy,Residential,2023,39.63
Japan,Domestic aviation,2018,0.03
Japan,Domestic aviation,2019,9.02
Japan,Domestic aviation,2020,6.50
Japan,Domestic aviation,2021,6.55
Japan,Domestic aviation,2022,9.16
Japan,Domestic aviation,2023,3.87
Japan,Ground transport,2018,0.49
Japan,Ground transport,2019,178.10
Japan,Ground transport,2020,167.41
Japan,Ground transport,2021,172.21
Japan,Ground transport,2022,179.12
Japan,Ground transport,2023,74.92
Japan,Industry,2018,0.51
Japan,Industry,2019,268.81
Japan,Industry,2020,241.05
Japan,Industry,2021,254.43
Japan,Industry,2022,254.27
Japan,Industry,2023,100.99
Japan,International aviation,2018,0.05
Japan,International aviation,2019,19.58
Japan,International aviation,2020,8.70
Japan,International aviation,2021,8.37
Japan,International aviation,2022,9.37
Japan,International aviation,2023,5.63
Japan,Power,2018,1.30
Japan,Power,2019,524.46
Japan,Power,2020,517.09
Japan,Power,2021,497.70
Japan,Power,2022,517.21
Japan,Power,2023,190.68
Japan,Residential,2018,0.60
Japan,Residential,2019,108.32
Japan,Residential,2020,108.50
Japan,Residential,2021,107.44
Japan,Residential,2022,111.16
Japan,Residential,2023,58.97
ROW,Domestic aviation,2018,0.17
ROW,Domestic aviation,2019,69.29
ROW,Domestic aviation,2020,40.58
ROW,Domestic aviation,2021,49.06
ROW,Domestic aviation,2022,65.19
ROW,Domestic aviation,2023,27.87
ROW,Ground transport,2018,4.51
ROW,Ground transport,2019,2177.81
ROW,Ground transport,2020,1878.06
ROW,Ground transport,2021,2087.30
ROW,Ground transport,2022,2286.03
ROW,Ground transport,2023,980.95
ROW,Industry,2018,8.02
ROW,Industry,2019,3578.41
ROW,Industry,2020,3370.95
ROW,Industry,2021,3566.65
ROW,Industry,2022,3771.68
ROW,Industry,2023,1528.75
ROW,International aviation,2018,0.71
ROW,International aviation,2019,277.22
ROW,International aviation,2020,119.67
ROW,International aviation,2021,139.53
ROW,International aviation,2022,204.85
ROW,International aviation,2023,101.44
ROW,Power,2018,8.57
ROW,Power,2019,3773.81
ROW,Power,2020,3532.69
ROW,Power,2021,3477.92
ROW,Power,2022,3377.34
ROW,Power,2023,1332.41
ROW,Residential,2018,5.55
ROW,Residential,2019,1015.56
ROW,Residential,2020,1026.26
ROW,Residential,2021,992.49
ROW,Residential,2022,1012.57
ROW,Residential,2023,502.74
Russia,Domestic aviation,2018,0.02
Russia,Domestic aviation,2019,15.43
Russia,Domestic aviation,2020,13.42
Russia,Domestic aviation,2021,18.57
Russia,Domestic aviation,2022,17.19
Russia,Domestic aviation,2023,6.24
Russia,Ground transport,2018,0.56
Russia,Ground transport,2019,232.25
Russia,Ground transport,2020,222.71
Russia,Ground transport,2021,232.07
Russia,Ground transport,2022,227.15
Russia,Ground transport,2023,94.35
Russia,Industry,2018,0.57
Russia,Industry,2019,284.36
Russia,Industry,2020,287.83
Russia,Industry,2021,302.50
Russia,Industry,2022,298.14
Russia,Industry,2023,118.47
Russia,International aviation,2018,0.03
Russia,International aviation,2019,13.28
Russia,International aviation,2020,5.25
Russia,International aviation,2021,7.11
Russia,International aviation,2022,4.80
Russia,International aviation,2023,2.33
Russia,Power,2018,2.85
Russia,Power,2019,840.21
Russia,Power,2020,980.01
Russia,Power,2021,1166.55
Russia,Power,2022,1145.60
Russia,Power,2023,513.60
Russia,Residential,2018,0.90
Russia,Residential,2019,171.86
Russia,Residential,2020,165.61
Russia,Residential,2021,181.57
Russia,Residential,2022,177.05
Russia,Residential,2023,90.59
Spain,Domestic aviation,2018,0.01
Spain,Domestic aviation,2019,5.64
Spain,Domestic aviation,2020,3.00
Spain,Domestic aviation,2021,4.37
Spain,Domestic aviation,2022,5.88
Spain,Domestic aviation,2023,2.44
Spain,Ground transport,2018,0.19
Spain,Ground transport,2019,84.77
Spain,Ground transport,2020,75.61
Spain,Ground transport,2021,87.76
Spain,Ground transport,2022,83.94
Spain,Ground transport,2023,37.19
Spain,Industry,2018,0.12
Spain,Industry,2019,62.25
Spain,Industry,2020,55.95
Spain,Industry,2021,60.54
Spain,Industry,2022,61.79
Spain,Industry,2023,26.24
Spain,International aviation,2018,0.05
Spain,International aviation,2019,24.25
Spain,International aviation,2020,8.41
Spain,International aviation,2021,12.06
Spain,International aviation,2022,21.52
Spain,International aviation,2023,8.84
Spain,Power,2018,0.13
Spain,Power,2019,55.05
Spain,Power,2020,41.55
Spain,Power,2021,41.01
Spain,Power,2022,52.29
Spain,Power,2023,13.48
Spain,Residential,2018,0.16
Spain,Residential,2019,36.70
Spain,Residential,2020,36.27
